 Au                                                               Feff 8.20
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=79 Rmt= 1.553 Rnm= 1.596 L3 shell
 Pot 1 Z=79 Rmt= 1.531 Rnm= 1.569
 Gam_ch=5.284E+00 H-L exch
 Mu=-5.117E-01 kf=1.860E+00 Vint=-1.369E+01 Rs_int= 1.950
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   10      icalc       2
 -----------------------------------------------------------------------
   3  24.000   5.7645    2.9659   -0.51171 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  79 Au       absorbing atom
     4.0761    0.0000    4.0761  1  79 Au    
     2.0380    0.0000    2.0380  1  79 Au    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  1.1967E+01  0.0000E+00 -1.4176E+01  1.089E+00  5.3901E+00  1.8689E+00
  0.100  1.1966E+01  7.3804E-02 -1.5305E+01  1.089E+00  5.3975E+00  1.8715E+00
  0.200  1.1962E+01  1.4627E-01 -1.6387E+01  1.088E+00  5.4192E+00  1.8791E+00
  0.300  1.1956E+01  2.1623E-01 -1.7422E+01  1.088E+00  5.4546E+00  1.8917E+00
  0.400  1.1948E+01  2.8275E-01 -1.8411E+01  1.087E+00  5.5026E+00  1.9093E+00
  0.500  1.1938E+01  3.4528E-01 -1.9355E+01  1.085E+00  5.5616E+00  1.9316E+00
  0.600  1.1926E+01  4.0361E-01 -2.0255E+01  1.084E+00  5.6296E+00  1.9587E+00
  0.700  1.1911E+01  4.5781E-01 -2.1111E+01  1.083E+00  5.7044E+00  1.9902E+00
  0.800  1.1895E+01  5.0820E-01 -2.1925E+01  1.081E+00  5.7834E+00  2.0261E+00
  0.900  1.1877E+01  5.5522E-01 -2.2697E+01  1.080E+00  5.8641E+00  2.0662E+00
  1.000  1.1857E+01  5.9933E-01 -2.3428E+01  1.079E+00  5.9437E+00  2.1104E+00
  1.100  1.1835E+01  6.4093E-01 -2.4118E+01  1.078E+00  6.0198E+00  2.1584E+00
  1.200  1.1812E+01  6.8031E-01 -2.4767E+01  1.077E+00  6.0900E+00  2.2102E+00
  1.300  1.1788E+01  7.1760E-01 -2.5376E+01  1.076E+00  6.1525E+00  2.2658E+00
  1.400  1.1762E+01  7.5277E-01 -2.5944E+01  1.075E+00  6.2060E+00  2.3249E+00
  1.500  1.1735E+01  7.8564E-01 -2.6470E+01  1.075E+00  6.2501E+00  2.3876E+00
  1.600  1.1706E+01  8.1592E-01 -2.6953E+01  1.076E+00  6.2852E+00  2.4539E+00
  1.700  1.1675E+01  8.4319E-01 -2.7392E+01  1.076E+00  6.3131E+00  2.5238E+00
  1.800  1.1642E+01  8.6707E-01 -2.7785E+01  1.077E+00  6.3364E+00  2.5973E+00
  1.900  1.1607E+01  8.8720E-01 -2.8129E+01  1.079E+00  6.3596E+00  2.6746E+00
  2.000  1.1570E+01  9.0337E-01 -2.8420E+01  1.081E+00  6.3885E+00  2.7558E+00
  2.200  1.1475E+01  8.9912E-01 -2.8759E+01  1.074E+00  6.5031E+00  2.9387E+00
  2.400  1.1359E+01  1.0597E+00 -2.9055E+01  1.184E+00  4.8911E+00  3.1268E+00
  2.600  1.1362E+01  1.1760E+00 -2.9683E+01  1.230E+00  4.3639E+00  3.2609E+00
  2.800  1.1365E+01  1.2957E+00 -3.0228E+01  1.256E+00  4.1304E+00  3.3966E+00
  3.000  1.1347E+01  1.3998E+00 -3.0653E+01  1.263E+00  4.0440E+00  3.5419E+00
  3.200  1.1316E+01  1.4894E+00 -3.1015E+01  1.262E+00  4.0392E+00  3.6933E+00
  3.400  1.1276E+01  1.5543E+00 -3.1339E+01  1.255E+00  4.0861E+00  3.8501E+00
  3.600  1.1225E+01  1.5602E+00 -3.1641E+01  1.243E+00  4.1694E+00  4.0119E+00
  3.800  1.1165E+01  1.5342E+00 -3.1930E+01  1.231E+00  4.2797E+00  4.1779E+00
  4.000  1.1098E+01  1.4459E+00 -3.2202E+01  1.213E+00  4.4112E+00  4.3478E+00
  4.200  1.1024E+01  1.3342E+00 -3.2463E+01  1.197E+00  4.5601E+00  4.5210E+00
  4.400  1.0946E+01  1.1951E+00 -3.2714E+01  1.181E+00  4.7234E+00  4.6972E+00
  4.600  1.0865E+01  1.0421E+00 -3.2962E+01  1.164E+00  4.8990E+00  4.8759E+00
  4.800  1.0781E+01  8.7674E-01 -3.3213E+01  1.149E+00  5.0855E+00  5.0568E+00
  5.000  1.0695E+01  7.1766E-01 -3.3492E+01  1.134E+00  5.2814E+00  5.2397E+00
  5.200  1.0609E+01  5.6172E-01 -3.3825E+01  1.121E+00  5.4860E+00  5.4243E+00
  5.400  1.0523E+01  4.4380E-01 -3.4264E+01  1.108E+00  5.6982E+00  5.6104E+00
  5.600  1.0436E+01  3.9305E-01 -3.4822E+01  1.096E+00  5.9175E+00  5.7979E+00
  5.800  1.0348E+01  4.2661E-01 -3.5367E+01  1.085E+00  6.1433E+00  5.9865E+00
  6.000  1.0261E+01  5.1537E-01 -3.5766E+01  1.073E+00  6.3751E+00  6.1761E+00
  6.500  1.0041E+01  7.7440E-01 -3.6294E+01  1.047E+00  6.9786E+00  6.6539E+00
  7.000  9.8222E+00  9.4734E-01 -3.6560E+01  1.023E+00  7.6123E+00  7.1360E+00
  7.500  9.6058E+00  1.0138E+00 -3.6722E+01  1.003E+00  8.2726E+00  7.6214E+00
  8.000  9.3918E+00  1.0014E+00 -3.6817E+01  9.846E-01  8.9567E+00  8.1093E+00
  8.500  9.1801E+00  9.3958E-01 -3.6850E+01  9.702E-01  9.6625E+00  8.5991E+00
  9.000  8.9719E+00  8.5795E-01 -3.6829E+01  9.580E-01  1.0388E+01  9.0904E+00
  9.500  8.7695E+00  7.7905E-01 -3.6757E+01  9.482E-01  1.1132E+01  9.5830E+00
 10.000  8.5741E+00  7.2312E-01 -3.6638E+01  9.410E-01  1.1894E+01  1.0077E+01
 11.000  8.2001E+00  7.2829E-01 -3.6345E+01  9.311E-01  1.3463E+01  1.1066E+01
 12.000  7.8482E+00  8.4199E-01 -3.6168E+01  9.247E-01  1.5091E+01  1.2058E+01
 13.000  7.5193E+00  9.8723E-01 -3.6126E+01  9.217E-01  1.6770E+01  1.3052E+01
 14.000  7.2088E+00  1.1058E+00 -3.6170E+01  9.198E-01  1.8497E+01  1.4046E+01
 15.000  6.9182E+00  1.1836E+00 -3.6258E+01  9.195E-01  2.0267E+01  1.5042E+01
 16.000  6.6437E+00  1.2101E+00 -3.6367E+01  9.194E-01  2.2076E+01  1.6038E+01
 17.000  6.3859E+00  1.2014E+00 -3.6477E+01  9.189E-01  2.3923E+01  1.7035E+01
 18.000  6.1408E+00  1.1789E+00 -3.6589E+01  9.179E-01  2.5805E+01  1.8032E+01
 19.000  5.9071E+00  1.1546E+00 -3.6712E+01  9.174E-01  2.7718E+01  1.9030E+01
 20.000  5.6838E+00  1.1260E+00 -3.6847E+01  9.175E-01  2.9662E+01  2.0028E+01
 21.000  5.4715E+00  1.1018E+00 -3.6994E+01  9.181E-01  3.1635E+01  2.1026E+01
 22.000  5.2688E+00  1.0673E+00 -3.7164E+01  9.191E-01  3.3634E+01  2.2025E+01
 23.000  5.0750E+00  1.0151E+00 -3.7345E+01  9.203E-01  3.5658E+01  2.3023E+01
 24.000  4.8906E+00  9.5252E-01 -3.7532E+01  9.217E-01  3.7706E+01  2.4022E+01
