# XDI/1.0 Athena/0.9.21
# Element.edge:                  L3
# Element.symbol:                Au
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Athena.e0:                     11920.08429
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              0.9178349
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.952595 - 0.00032483 * E
# Athena.normalization_range:    150.000 1676.466
# Athena.post_edge_polynomial:   13.110132 - 0.00131986 * E + 3.25230595e-008 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1776.434
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 21.593
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 19.593
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0
  11699.999        1.1639840        1.1639840        1.1520861        2.1198436      -0.46639548E-03  -0.34134887E-06    1.0000000
  11709.980        1.1593290        1.1593290        1.1488440        2.1142694      -0.46980241E-03  -0.71356500E-06    1.0000000
  11720.010        1.1545830        1.1545830        1.1455860        2.1086743      -0.48067430E-03   0.36801205E-06    1.0000000
  11730.035        1.1496890        1.1496890        1.1423295        2.1030882      -0.46242187E-03   0.93778984E-06    1.0000000
  11740.091        1.1452970        1.1452970        1.1390631        2.0974918      -0.46184233E-03  -0.18148473E-06    1.0000000
  11750.105        1.1404200        1.1404200        1.1358103        2.0919252      -0.46606420E-03   0.19897710E-05    1.0000000
  11760.208        1.1359210        1.1359210        1.1325283        2.0863153      -0.42181331E-03   0.29283270E-05    1.0000000
  11770.339        1.1318850        1.1318850        1.1292376        2.0806972      -0.40681223E-03   0.40092754E-06    1.0000000
  11780.483        1.1276730        1.1276730        1.1259425        2.0750782      -0.41368462E-03   0.12277446E-06    1.0000000
  11790.656        1.1234800        1.1234800        1.1226379        2.0694498      -0.40431777E-03  -0.18053294E-06    1.0000000
  11800.819        1.1194510        1.1194510        1.1193369        2.0638342      -0.41735584E-03   0.37068863E-06    1.0000000
