# Gold Foil
# reference foil measured at the GILDA-BM08 Bemaline ESRF.FR
# Temperature 300 K
#
# energy     Io,      It       alpha     ----
11650.268090 0.661997 0.498157 0.284346 11650.325750
11660.297250 0.662457 0.500810 0.279728 11660.490900
11670.394830 0.661977 0.502927 0.274786 11670.785960
11680.492340 0.663207 0.506367 0.269826 11680.923970
11690.622340 0.662803 0.508457 0.265098 11691.063380
11700.744840 0.663553 0.511450 0.260359 11701.012150
11710.879360 0.663453 0.513807 0.255611 11710.999920
11721.001570 0.663770 0.516490 0.250880 11721.205240
11731.183600 0.663567 0.518903 0.245912 11731.601510
11741.446410 0.663733 0.521530 0.241114 11742.100610
11751.589800 0.663243 0.523637 0.236344 11752.375280
11761.817800 0.663837 0.526500 0.231785 11762.668990
11772.071250 0.664747 0.529580 0.227322 11772.709240
11782.395720 0.663570 0.531133 0.222621 11783.020770
11792.747900 0.662577 0.532797 0.217996 11793.483010
11803.049950 0.662097 0.534897 0.213338 11804.004850
11813.397710 0.664093 0.538997 0.208713 11814.497840
11823.770390 0.663607 0.540870 0.204511 11824.891980
11834.098320 0.663093 0.542687 0.200384 11835.090080
11844.629180 0.664153 0.545667 0.196505 11845.286440
11855.054190 0.663650 0.547140 0.193050 11855.663540
11865.483240 0.664157 0.549080 0.190274 11866.165860
11875.851780 0.663977 0.549593 0.189068 11876.712590
11886.376460 0.663963 0.548333 0.191344 11887.315190
11896.777830 0.664067 0.541890 0.203320 11897.771440
11900.985550 0.665757 0.536287 0.216255 11901.912560
11901.994440 0.667827 0.535683 0.220485 11902.820160
11902.964810 0.668127 0.533307 0.225381 11903.687160
11903.959540 0.669047 0.530720 0.231619 11904.616120
11904.948630 0.668387 0.526117 0.239344 11905.576850
11906.001790 0.668210 0.520140 0.250504 11906.655950
11906.993180 0.668943 0.513257 0.264923 11907.724840
11908.036070 0.669603 0.502190 0.287707 11908.983510
11909.042350 0.669550 0.487863 0.316571 11910.092590
11910.037180 0.668897 0.469573 0.353805 11911.108760
11911.045760 0.669013 0.445447 0.406726 11912.135560
11912.039970 0.668973 0.414857 0.477811 11913.095480
11913.007220 0.669433 0.379057 0.568746 11914.031000
11913.999850 0.669640 0.343853 0.666525 11914.891210
11915.043070 0.669687 0.310053 0.770066 11915.837300
11916.097150 0.669853 0.285167 0.853985 11916.797840
11917.117470 0.670827 0.269633 0.911448 11917.815280
11918.101120 0.670427 0.260883 0.943841 11918.809910
11919.160620 0.670710 0.257397 0.957719 11919.916260
11920.136860 0.670873 0.256713 0.960620 11921.061950
11921.190920 0.667970 0.254617 0.964484 11922.276910
11922.195660 0.667510 0.252013 0.974072 11923.333290
11923.194760 0.671493 0.249850 0.988643 11924.293230
11924.180430 0.671663 0.245553 1.006243 11925.263660
11925.212910 0.671553 0.240747 1.025848 11926.301570
11926.236830 0.671350 0.236960 1.041399 11927.224030
11927.251210 0.671277 0.234187 1.053063 11928.094760
11928.228850 0.670507 0.232040 1.061124 11928.984630
11929.275680 0.670863 0.230867 1.066725 11929.995620
11930.278940 0.671000 0.230027 1.070574 11931.011950
11931.290170 0.671783 0.229147 1.075574 11932.085580
11932.270450 0.671403 0.227270 1.083231 11933.168080
11933.267440 0.671290 0.225227 1.092094 11934.328520
11934.259740 0.671510 0.223637 1.099506 11935.395830
11935.318390 0.671227 0.221210 1.109994 11936.470500
11936.369440 0.672033 0.217187 1.129551 11937.505470
11937.397330 0.671520 0.210820 1.158539 11938.498570
11938.460460 0.671017 0.203887 1.191230 11939.488790
11939.444910 0.670060 0.198037 1.218915 11940.398660
11940.483100 0.670630 0.194773 1.236381 11941.273960
11941.490310 0.670333 0.193797 1.240966 11942.267990
11942.529850 0.670740 0.195973 1.230403 11943.303970
11943.548140 0.670747 0.199883 1.210658 11944.321290
11944.547120 0.671570 0.205090 1.186169 11945.490790
11945.593070 0.671087 0.208927 1.166915 11946.690160
11946.605090 0.670927 0.210940 1.157086 11947.780610
11947.645570 0.670870 0.211837 1.152760 11948.823850
11948.727210 0.671027 0.212560 1.149585 11949.899700
11949.786610 0.671350 0.213633 1.145029 11950.925800
11950.836460 0.671660 0.214873 1.139704 11951.924160
11951.863080 0.671477 0.215690 1.135637 11952.854230
11952.947480 0.671403 0.216033 1.133937 11953.780980
11953.971550 0.672020 0.215813 1.135874 11954.777320
11955.025100 0.671490 0.214273 1.142247 11955.841550
11956.035880 0.672017 0.212380 1.151906 11956.896290
11957.036090 0.672653 0.209943 1.164392 11957.987980
11958.099010 0.672527 0.206607 1.180225 11959.252600
11959.130850 0.671903 0.203557 1.194170 11960.355900
11960.160930 0.671963 0.201097 1.206418 11961.391630
11961.199020 0.672307 0.199077 1.217025 11962.420790
11962.291070 0.671987 0.197373 1.225141 11963.482790
11963.353020 0.671663 0.196467 1.229264 11964.501540
11964.358440 0.671723 0.196453 1.229422 11965.404280
11965.418820 0.672327 0.197163 1.226712 11966.308920
11966.423620 0.672043 0.198160 1.221248 11967.286400
11967.423710 0.672290 0.199647 1.214141 11968.288600
11968.424950 0.672840 0.201260 1.206910 11969.280590
11969.429310 0.672980 0.202840 1.199298 11970.420410
11970.491620 0.672657 0.204270 1.191792 11971.656660
11971.511030 0.673217 0.205670 1.185794 11972.778370
11972.508100 0.673170 0.206737 1.180552 11973.823020
11973.522000 0.672823 0.207547 1.176127 11974.764940
11974.568420 0.672013 0.208183 1.171859 11975.836880
11975.570920 0.672147 0.208860 1.168812 11976.716090
11976.628500 0.672433 0.209547 1.165957 11977.680580
11977.642160 0.673070 0.210317 1.163235 11978.602170
11978.700120 0.673307 0.211060 1.160058 11979.538940
11979.753370 0.672877 0.211860 1.155636 11980.574700
11980.786230 0.673413 0.213177 1.150238 11981.654250
11981.784930 0.673763 0.214457 1.144771 11982.734000
11982.852490 0.672810 0.215600 1.138038 11984.000660
11983.864320 0.673153 0.216793 1.133029 11985.110530
11984.925400 0.673643 0.217587 1.130104 11986.168250
11985.934650 0.673153 0.217767 1.128549 11987.213950
11986.981400 0.673287 0.217950 1.127906 11988.225780
11988.048960 0.673340 0.217930 1.128076 11989.229070
11989.073500 0.672733 0.217533 1.128997 11990.160040
11990.106080 0.673413 0.217540 1.129977 11991.045740
11991.144750 0.673920 0.217387 1.131434 11991.975260
11992.155100 0.673523 0.216677 1.134116 11993.020030
11993.193160 0.672733 0.215790 1.137043 11994.011240
11994.231410 0.673763 0.215227 1.141187 11995.119630
11995.251160 0.673997 0.214123 1.146673 11996.374900
11996.316350 0.674680 0.213107 1.152446 11997.551190
11997.378780 0.674737 0.212063 1.157438 11998.640100
11998.422710 0.674737 0.211113 1.161927 11999.665350
11999.519980 0.674623 0.210337 1.165445 12000.752030
12002.016450 0.674827 0.209477 1.169844 12003.031280
12004.035300 0.674537 0.209417 1.169700 12004.885420
12006.029240 0.674083 0.209937 1.166548 12006.864660
12008.055430 0.674793 0.211303 1.161112 12009.202340
12010.111910 0.674257 0.212287 1.155673 12011.351510
12012.188870 0.674690 0.213367 1.151241 12013.403820
12014.278430 0.674253 0.213953 1.147848 12015.346820
12016.362830 0.674057 0.214343 1.145735 12017.214140
12018.448980 0.674270 0.214703 1.144373 12019.288940
12020.533920 0.673697 0.214650 1.143771 12021.653830
12022.620620 0.673887 0.214867 1.143044 12023.850640
