natx =       87
    x       y        z       iph  
      0.00000      0.00000      0.00000   0
      2.03500      2.03500      0.00000   1
     -2.03500      2.03500      0.00000   1
      2.03500     -2.03500      0.00000   1
     -2.03500     -2.03500      0.00000   1
      2.03500      0.00000      2.03500   1
     -2.03500      0.00000      2.03500   1
      0.00000      2.03500      2.03500   1
      0.00000     -2.03500      2.03500   1
      2.03500      0.00000     -2.03500   1
     -2.03500      0.00000     -2.03500   1
      0.00000      2.03500     -2.03500   1
      0.00000     -2.03500     -2.03500   1
      4.07000      0.00000      0.00000   1
     -4.07000      0.00000      0.00000   1
      0.00000      4.07000      0.00000   1
      0.00000     -4.07000      0.00000   1
      0.00000      0.00000      4.07000   1
      0.00000      0.00000     -4.07000   1
      4.07000      2.03500      2.03500   1
     -4.07000      2.03500      2.03500   1
      2.03500      4.07000      2.03500   1
     -2.03500      4.07000      2.03500   1
      4.07000     -2.03500      2.03500   1
     -4.07000     -2.03500      2.03500   1
      2.03500     -4.07000      2.03500   1
     -2.03500     -4.07000      2.03500   1
      2.03500      2.03500      4.07000   1
     -2.03500      2.03500      4.07000   1
      2.03500     -2.03500      4.07000   1
     -2.03500     -2.03500      4.07000   1
      4.07000      2.03500     -2.03500   1
     -4.07000      2.03500     -2.03500   1
      2.03500      4.07000     -2.03500   1
     -2.03500      4.07000     -2.03500   1
      4.07000     -2.03500     -2.03500   1
     -4.07000     -2.03500     -2.03500   1
      2.03500     -4.07000     -2.03500   1
     -2.03500     -4.07000     -2.03500   1
      2.03500      2.03500     -4.07000   1
     -2.03500      2.03500     -4.07000   1
      2.03500     -2.03500     -4.07000   1
     -2.03500     -2.03500     -4.07000   1
      4.07000      4.07000      0.00000   1
     -4.07000      4.07000      0.00000   1
      4.07000     -4.07000      0.00000   1
     -4.07000     -4.07000      0.00000   1
      4.07000      0.00000      4.07000   1
     -4.07000      0.00000      4.07000   1
      0.00000      4.07000      4.07000   1
      0.00000     -4.07000      4.07000   1
      4.07000      0.00000     -4.07000   1
     -4.07000      0.00000     -4.07000   1
      0.00000      4.07000     -4.07000   1
      0.00000     -4.07000     -4.07000   1
      6.10500      2.03500      0.00000   1
     -6.10500      2.03500      0.00000   1
      2.03500      6.10500      0.00000   1
     -2.03500      6.10500      0.00000   1
      6.10500     -2.03500      0.00000   1
     -6.10500     -2.03500      0.00000   1
      2.03500     -6.10500      0.00000   1
     -2.03500     -6.10500      0.00000   1
      6.10500      0.00000      2.03500   1
     -6.10500      0.00000      2.03500   1
      0.00000      6.10500      2.03500   1
      0.00000     -6.10500      2.03500   1
      2.03500      0.00000      6.10500   1
     -2.03500      0.00000      6.10500   1
      0.00000      2.03500      6.10500   1
      0.00000     -2.03500      6.10500   1
      6.10500      0.00000     -2.03500   1
     -6.10500      0.00000     -2.03500   1
      0.00000      6.10500     -2.03500   1
      0.00000     -6.10500     -2.03500   1
      2.03500      0.00000     -6.10500   1
     -2.03500      0.00000     -6.10500   1
      0.00000      2.03500     -6.10500   1
      0.00000     -2.03500     -6.10500   1
      4.07000      4.07000      4.07000   1
     -4.07000      4.07000      4.07000   1
      4.07000     -4.07000      4.07000   1
     -4.07000     -4.07000      4.07000   1
      4.07000      4.07000     -4.07000   1
     -4.07000      4.07000     -4.07000   1
      4.07000     -4.07000     -4.07000   1
     -4.07000     -4.07000     -4.07000   1
