# Au fcc                                                         Feff 8.40   
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=79 Rmt= 1.550 Rnm= 1.593 L3 shell
# Pot 1 Z=79 Rmt= 1.528 Rnm= 1.567
# Gam_ch=5.284E+00 H-L exch
# Mu=-4.795E-01 kf=1.866E+00 Vint=-1.374E+01 Rs_int= 1.944
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.8779
#           2       0.00000     24.44      6.00     2   4.0700
#           3       0.00000     11.58     48.00     3   4.3169
#           4       0.00000      5.13     48.00     3   4.9129
#           5       0.00000     56.57     24.00     2   4.9847
#           6       0.00000      9.16     48.00     3   5.3703
#           7       0.00000     23.54     96.00     3   5.3703
#           8       0.00000     18.44     12.00     2   5.7558
#           9       0.00000      7.76     12.00     3   5.7558
#          10       0.00000     74.71     24.00     3   5.7558
#          11       0.00000     12.92     12.00     4   5.7558
#          14       0.00000     79.13     12.00     4   5.7558
#          15       0.00000      6.48     48.00     4   5.7558
#          16       0.00000     26.02     24.00     2   6.4352
#          18       0.00000      6.88     48.00     3   6.6916
#          19       0.00000      8.19     48.00     3   6.6916
#          21       0.00000      6.72     96.00     4   6.8092
#          22       0.00000      4.09     96.00     4   6.8092
#    18/  22 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -2.941426E-02  1.219263E-01 -2.897943E+00
     0.0500   -2.932326E-02  1.214015E-01 -2.897641E+00
     0.1000   -2.922937E-02  1.208795E-01 -2.897366E+00
     0.1500   -2.893307E-02  1.193914E-01 -2.896818E+00
     0.2000   -2.861465E-02  1.179297E-01 -2.896505E+00
     0.2500   -2.806065E-02  1.157479E-01 -2.896724E+00
     0.3000   -2.746558E-02  1.136437E-01 -2.897494E+00
     0.3500   -2.665101E-02  1.112145E-01 -2.899602E+00
     0.4000   -2.581067E-02  1.089411E-01 -2.902395E+00
     0.4500   -2.490306E-02  1.068402E-01 -2.906342E+00
     0.5000   -2.405421E-02  1.049773E-01 -2.910401E+00
     0.5500   -2.349456E-02  1.037741E-01 -2.913211E+00
     0.6000   -2.315851E-02  1.028340E-01 -2.914442E+00
     0.6500   -2.367771E-02  1.028577E-01 -2.909311E+00
     0.7000   -2.462060E-02  1.030373E-01 -2.900310E+00
     0.7500   -2.717517E-02  1.041354E-01 -2.877576E+00
     0.8000   -3.027454E-02  1.051300E-01 -2.849484E+00
     0.8500   -3.522445E-02  1.067635E-01 -2.805363E+00
     0.9000   -4.057544E-02  1.079709E-01 -2.756333E+00
     0.9500   -4.783149E-02  1.092142E-01 -2.688264E+00
     1.0000   -5.493179E-02  1.097304E-01 -2.617293E+00
     1.0500   -6.317420E-02  1.097213E-01 -2.528048E+00
     1.1000   -7.032055E-02  1.087955E-01 -2.438795E+00
     1.1500   -7.721636E-02  1.069181E-01 -2.334614E+00
     1.2000   -8.203751E-02  1.041134E-01 -2.234099E+00
     1.2500   -8.530973E-02  1.002269E-01 -2.123390E+00
     1.3000   -8.611346E-02  9.564983E-02 -2.021136E+00
     1.3500   -8.491910E-02  9.023985E-02 -1.915908E+00
     1.4000   -8.197139E-02  8.470275E-02 -1.825438E+00
     1.4500   -7.799112E-02  7.911624E-02 -1.739645E+00
     1.5000   -7.391155E-02  7.430261E-02 -1.673438E+00
     1.5500   -7.049707E-02  7.056157E-02 -1.613559E+00
     1.6000   -6.847478E-02  6.847563E-02 -1.565790E+00
     1.6500   -6.802639E-02  6.817015E-02 -1.505840E+00
     1.7000   -6.881922E-02  6.944881E-02 -1.436042E+00
     1.7500   -6.984057E-02  7.192383E-02 -1.329526E+00
     1.8000   -6.989035E-02  7.489461E-02 -1.203169E+00
     1.8500   -6.691337E-02  7.773448E-02 -1.036828E+00
     1.9000   -6.051174E-02  8.008392E-02 -8.565759E-01
     1.9500   -4.869398E-02  8.142808E-02 -6.410033E-01
     2.0000   -3.342087E-02  8.184172E-02 -4.206565E-01
     2.0500   -1.173046E-02  7.982715E-02 -1.474824E-01
     2.1000    9.097236E-03  7.687856E-02  1.186105E-01
     2.1500    2.680958E-02  7.339516E-02  3.739305E-01
     2.2000    4.035063E-02  6.983558E-02  6.160241E-01
     2.2500    5.170106E-02  6.682416E-02  8.846418E-01
     2.3000    5.844134E-02  6.396732E-02  1.152082E+00
     2.3500    6.060565E-02  6.129770E-02  1.420388E+00
     2.4000    5.834278E-02  5.877539E-02  1.692200E+00
     2.4500    5.217968E-02  5.695666E-02  1.983276E+00
     2.5000    4.227301E-02  5.546615E-02  2.274979E+00
     2.5500    2.939507E-02  5.423130E-02  2.568740E+00
     2.6000    1.448892E-02  5.316928E-02  2.865597E+00
     2.6500   -2.609681E-03  5.469435E-02  3.189325E+00
     2.7000   -2.063350E-02  5.617031E-02  3.517738E+00
     2.7500   -3.742683E-02  5.752319E-02  3.850018E+00
     2.8000   -5.072241E-02  5.869002E-02  4.185235E+00
     2.8500   -5.988138E-02  6.104789E-02  4.516587E+00
     2.9000   -6.233111E-02  6.290957E-02  4.848104E+00
     2.9500   -5.738877E-02  6.422948E-02  5.178115E+00
     3.0000   -4.562219E-02  6.498963E-02  5.504995E+00
     3.0500   -2.948861E-02  6.563846E-02  5.817251E+00
     3.1000   -1.044256E-02  6.558865E-02  6.123292E+00
     3.1500    8.918668E-03  6.492977E-02  6.420980E+00
     3.2000    2.631163E-02  6.380179E-02  6.708268E+00
     3.2500    4.008511E-02  6.217345E-02  6.983856E+00
     3.3000    4.954004E-02  6.029100E-02  7.247541E+00
     3.3500    5.472451E-02  5.838338E-02  7.498073E+00
     3.4000    5.629390E-02  5.669181E-02  7.735431E+00
     3.4500    5.433103E-02  5.468023E-02  7.967058E+00
     3.5000    5.002310E-02  5.298305E-02  8.189821E+00
     3.5500    4.403512E-02  5.170607E-02  8.405666E+00
     3.6000    3.676847E-02  5.089923E-02  8.617543E+00
     3.6500    2.785691E-02  4.990526E-02  8.832568E+00
     3.7000    1.821544E-02  4.914589E-02  9.045080E+00
     3.7500    8.160378E-03  4.862701E-02  9.256164E+00
     3.8000   -2.031501E-03  4.833117E-02  9.466823E+00
     3.8500   -1.188475E-02  4.737332E-02  9.678361E+00
     3.9000   -2.072702E-02  4.664138E-02  9.885273E+00
     3.9500   -2.849971E-02  4.625604E-02  1.008860E+01
     4.0000   -3.528473E-02  4.631615E-02  1.029090E+01
     4.0500   -4.089373E-02  4.651549E-02  1.049884E+01
     4.1000   -4.515840E-02  4.707362E-02  1.070934E+01
     4.1500   -4.798270E-02  4.809880E-02  1.092608E+01
     4.2000   -4.892358E-02  4.954972E-02  1.115472E+01
     4.2500   -4.650760E-02  5.055691E-02  1.139853E+01
     4.3000   -4.075768E-02  5.150415E-02  1.165336E+01
     4.3500   -3.149840E-02  5.227105E-02  1.191962E+01
     4.4000   -1.900755E-02  5.270540E-02  1.219742E+01
     4.4500   -4.463502E-03  5.217098E-02  1.248071E+01
     4.5000    1.035641E-02  5.106113E-02  1.277061E+01
     4.5500    2.361676E-02  4.932407E-02  1.306567E+01
     4.6000    3.359984E-02  4.693883E-02  1.336417E+01
     4.6500    3.864358E-02  4.362998E-02  1.365440E+01
     4.7000    3.907680E-02  3.983539E-02  1.394170E+01
     4.7500    3.552025E-02  3.565034E-02  1.422262E+01
     4.8000    2.925681E-02  3.120217E-02  1.449215E+01
     4.8500    2.226127E-02  2.675487E-02  1.472518E+01
     4.9000    1.585274E-02  2.248492E-02  1.492549E+01
     4.9500    1.102368E-02  1.868637E-02  1.507699E+01
     5.0000    8.142497E-03  1.573650E-02  1.516412E+01
     5.0500    7.146390E-03  1.410114E-02  1.517650E+01
     5.1000    7.023698E-03  1.383528E-02  1.517549E+01
     5.1500    6.883168E-03  1.464069E-02  1.521851E+01
     5.2000    5.931477E-03  1.597612E-02  1.532759E+01
     5.2500    4.317495E-03  1.758853E-02  1.545996E+01
     5.3000    1.445713E-03  1.918619E-02  1.563254E+01
     5.3500   -2.584380E-03  2.059076E-02  1.583381E+01
     5.4000   -7.380203E-03  2.169596E-02  1.605506E+01
     5.4500   -1.225901E-02  2.340976E-02  1.625912E+01
     5.5000   -1.735456E-02  2.489369E-02  1.647937E+01
     5.5500   -2.201370E-02  2.608678E-02  1.671241E+01
     5.6000   -2.555037E-02  2.694129E-02  1.695603E+01
     5.6500   -2.860549E-02  2.866431E-02  1.721469E+01
     5.7000   -2.936957E-02  2.997826E-02  1.748062E+01
     5.7500   -2.741584E-02  3.079690E-02  1.775174E+01
     5.8000   -2.277400E-02  3.104622E-02  1.802602E+01
     5.8500   -1.565667E-02  3.136462E-02  1.832690E+01
     5.9000   -6.860421E-03  3.100620E-02  1.862645E+01
     5.9500    2.161486E-03  2.995011E-02  1.892179E+01
     6.0000    9.926828E-03  2.821403E-02  1.920909E+01
     6.0500    1.666052E-02  2.639907E-02  1.953253E+01
